Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder,28,0.422969478
2022,March,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death,85,1.284014488
2022,March,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,6967,105.24386985
2022,March,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,7690,116.165546024
2022,March,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",3080,46.526642621
2022,March,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,15796,238.615210013
2022,March,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,11412,172.390274542
2022,March,A Crimes against the person,A30 Sexual offences,A31 Rape,4462,67.403207589
2022,March,A Crimes against the person,A30 Sexual offences,A32 Indecent assault,5895,89.05018125
2022,March,A Crimes against the person,A30 Sexual offences,A33 Incest,449,6.782617707
2022,March,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children,2632,39.759130967
2022,March,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences,865,13.066735671
2022,March,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,185,2.794619768
2022,March,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,546,8.247904828
2022,March,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences,4,0.060424211
2022,March,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,2097,31.677392719
2022,March,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,292,4.410967417
2022,March,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,192,2.900362137
2022,March,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,93,1.40486291
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,1582,23.897775528
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,1094,16.526021762
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,2277,34.396482223
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,1191,17.991308884
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,4152,62.720331221
2022,March,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,3137,47.38768763
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,1432,21.631867608
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people,38,0.574030006
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,1274,19.245111266
2022,March,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,3343,50.499534507
2022,March,B Property and deception offences,B10 Arson,B11 Cause damage by fire,1751,26.450698451
2022,March,B Property and deception offences,B10 Arson,B12 Cause a bushfire,62,0.936575274
2022,March,B Property and deception offences,B10 Arson,B19 Other fire related offences,308,4.652664262
2022,March,B Property and deception offences,B20 Property damage,B21 Criminal damage,34482,520.886912614
2022,March,B Property and deception offences,B20 Property damage,B22 Graffiti,3170,47.886187373
2022,March,B Property and deception offences,B20 Property damage,B29 Other property damage offences,434,6.556026915
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,3921,59.230833025
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,118,1.78251423
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,6,0.090636317
2022,March,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,16466,248.736265388
