Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count,"Rate per 100,000 population"
2022,March,B Property and deception offences,B50 Deception,B59 Other deception offences,"1,215",18.4
2022,March,B Property and deception offences,B60 Bribery,B61 Bribery of officials,6,0.1
2022,March,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,63,1.0
2022,March,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,"3,768",56.9
2022,March,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,"1,030",15.6
2022,March,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,795,12.0
2022,March,C Drug offences,C30 Drug use and possession,C31 Drug use,279,4.2
2022,March,C Drug offences,C30 Drug use and possession,C32 Drug possession,"23,751",358.8
2022,March,C Drug offences,C90 Other drug offences,C99 Other drug offences,183,2.8
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences,"5,471",82.6
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences,"9,142",138.1
2022,March,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences,289,4.4
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray,"2,088",31.5
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public,"3,112",47.0
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,"2,228",33.7
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language,439,6.6
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent,"1,078",16.3
2022,March,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct,230,3.5
2022,March,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences,555,8.4
2022,March,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes,250,3.8
2022,March,D Public order and security offences,D30 Public nuisance offences,D33 Begging,17,0.3
2022,March,D Public order and security offences,D30 Public nuisance offences,D34 Defamation and libel,1,0.0
2022,March,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space,"3,079",46.5
2022,March,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences,60,0.9
2022,March,D Public order and security offences,D40 Public security offences,D41 Immigration offences,1,0.0
